"Категория 1","Категория 2","Категория 3","Категория 4","Категория 5","Товар","Бренд","Артикул","pdf","Наличие","Фото 1","Фото 2","Фото 3","Описание","Входное напряжение","Выходное напряжение","Выходной ток","Исполнение","Нагрузка","Тип (серия)","Материал корпуса","Максимальное напряжение","Степень защиты","Аксессуары","Количество педалей","Защитный кожух","Со встроенным радиатором","Со встроенным предохранителем","Реверсивные","Для коммутации постоянного тока","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-10A","Crouzet","84137001","841370(71)00(01-81).pdf","","84137001(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного и переменного тока GN-10A (CROUZET), 90-280 VAC/DC | 24-280VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 10А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","24-280VAC","10А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-25A","Crouzet","84137010","841370(71)00(01-81).pdf","","84137010(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-25A (CROUZET), 4-32VDC | 24-280VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 25А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","24-280VAC","25А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-25A","Crouzet","84137011","841370(71)00(01-81).pdf","","84137011(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-25A (CROUZET), 90-280 VAC/DC | 24-280VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 25А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","24-280VAC","25А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-50A ","Crouzet","84137120","841370(71)00(01-81).pdf","","84137120(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-10A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 50А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","50А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-50A","Crouzet","84137121","841370(71)00(01-81).pdf","","84137121(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-50A (CROUZET), 90-280 VAC/DC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 50А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","48-660VAC","50А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-75A","Crouzet","84137130","841370(71)00(01-81).pdf","","84137130(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-75A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 75А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","75А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-75A","Crouzet","84137131","841370(71)00(01-81).pdf","","84137131(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-75A (CROUZET), 90-280 VAC/DC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 75А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","48-660VAC","75А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-100A","Crouzet","84137140","841370(71)00(01-81).pdf","","84137140(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-100A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 100А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","100А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-100A ","Crouzet","84137141","841370(71)00(01-81).pdf","","84137140(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-100A (CROUZET), 90-280 VAC/DC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 100А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","48-660VAC","100А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GN-125A ","Crouzet","84137180","841370(71)00(01-81).pdf","","84137180(1)","84137000(2)","","<p>
         Однофазное твердотельное реле постоянного тока GN-125A (CROUZET), 4-32VDC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 125А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-660VAC","125А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 90-280VAC/DC, GN-125A","Crouzet","84137181","841370(71)00(01-81).pdf","","84137181(1)","84137000(2)","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GN-125A (CROUZET), 90-280 VAC/DC | 48-660VAC. Серия GN. Электронное бесконтактное устройство, предназначенное для коммутации электрических цепей. При высоких нагрузках тока, рекомендуется использовать радиатор, либо обеспечить надлежащее охлаждение.</p>
<ul>
        <li>
                Ток нагрузки: 125А;</li>
        <li>
                Габариты (ШхВхГ), мм: 30,6 x 60,2 x 32;</li>
        <li>
                Вес (kg): 0,114;</li>
        <li>
                Индикатор состояния LED;</li>
        <li>
                Степень защиты IP20;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","90-280VAC/DC","48-660VAC","125А","на винты","однофазная","","","","","","","","","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC , GNR10ACZ","Crouzet","GNR10ACZ","GNR10DCZ.pdf","","GNR10DCZ","","","<p>
        Однофазное твердотельное реле постоянного и переменного тока GNR10ACZ (CROUZET), 4 - 32VDC | 24 - 280 VAC, со встроенным радиатором. Серия Cooltech 10A/22,5 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 10А;</li>
        <li>
                Габариты (ШхВхГ), мм: 22,5 x 88,2 x 120,75;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Монтаж на шине, либо винтами;</li>
        <li>
                Защита от перенапряжений (TVS);</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;.</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","180-280VAC/DC","24-280VAC","10А","на DIN-рейку или винтами","однофазная","","","","","","","","да","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 180-280VAC/DC, GNR10DCZ","Crouzet","GNR10DCZ","GNR10DCZ.pdf","","GNR10DCZ","","","<p>
         Однофазное твердотельное реле постоянного тока GNR10DCZ (CROUZET), 180-280VAC/DC | 24 - 280 VAC, со встроенным радиатором. Серия Cooltech 10A/22,5 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 10А;</li>
        <li>
                Габариты (ШхВхГ), мм: 22,5 x 88,2 x 120,75;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Монтаж на шине, либо винтами;</li>
        <li>
                Защита от перенапряжений (TVS);</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;.</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","24-280VAC","10А","на DIN-рейку или винтами","однофазная","","","","","","","","да","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Трехфазное твердотельное реле 4-32VDC, GNR25DCZ","Crouzet","GNR25DCZ","GNR25DCZ.pdf","","GNR25DCZ(1)","","","<p>
         Трехфазное твердотельное реле постоянного тока GNR25DCZ (CROUZET), 4-32VDC | 48-600VAC, со встроенным радиатором. Серия Cooltech 3x25A/90 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 25А;</li>
        <li>
                Габариты (ШхВхГ), мм: 90 x 88,2 x 123,4;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Монтаж на шине, либо винтами;</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;.</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-600VAC","25А","на DIN-рейку или винтами","трехфазная","","","","","","","","да","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Трехфазное твердотельное реле 180-280VAC/DC, GNR25ACZ","Crouzet","GNR25ACZ","GNR25DCZ.pdf","","GNR25DCZ(1)","","","<p>
        Трехфазное твердотельное реле переменного и постоянного тока GNR25ACZ (CROUZET), 180-280VAC/DC | 48-600VAC, со встроенным радиатором. Серия Cooltech 3x25A/90 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 25А;</li>
        <li>
                Габариты (ШхВхГ), мм: 90 x 88,2 x 123,4;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Монтаж на шине, либо винтами;</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;.</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","180-280VAC/DC","48-600VAC","25А","на DIN-рейку или винтами","трехфазная","","","","","","","","да","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Трехфазное твердотельное реле 4-32VDC, GNR25DCR","Crouzet","GNR25DCR","GNR25DCZ.pdf","","GNR25DCZ(1)","","","<p>
         Трехфазное твердотельное реле постоянного тока GNR25DCR (CROUZET), 4-32VDC | 48-600VAC, со встроенным радиатором. Серия Cooltech 3x25A/90 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 25А;</li>
        <li>
                Габариты (ШхВхГ), мм: 90 x 88,2 x 123,4;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Монтаж на шине, либо винтами;</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;.</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-600VAC","25А","на DIN-рейку или винтами","трехфазная","","","","","","","","да","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 180-280VAC/DC, GNR30ACZ","Crouzet","GNR30ACZ","GNR30DCZ.pdf","","GNR30DCZ","","","<p>
        Однофазное твердотельное реле переменного и постоянного тока GNR30ACZ (CROUZET). 48 - 600 VAC | 180-280VAC/DC, со встроенным радиатором. Серия Cooltech 30A/22,5 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 30А;</li>
        <li>
                Габариты (ШхВхГ), мм: 22,5 x 88,2 x 120,75;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Монтаж на шине, либо винтами;</li>
        <li>
                Защита от перенапряжений (TVS);</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","180-280VAC/DC","48-600VAC","30А","на DIN-рейку или винтами","однофазная","","","","","","","","да","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GNR30DCZ","Crouzet","GNR30DCZ","GNR30DCZ.pdf","","GNR30DCZ","","","<p>
         Однофазное твердотельное реле переменного и постоянного тока GNR30DCZ (CROUZET). 48 - 600 VAC | 4 - 32VDC, со встроенным радиатором. Серия Cooltech 30A/22,5 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 30А;</li>
        <li>
                Габариты (ШхВхГ), мм: 22,5 x 88,2 x 120,75;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Монтаж на шине, либо винтами;</li>
        <li>
                Защита от перенапряжений (TVS);</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;;</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-600VAC","30А","на DIN-рейку или винтами","однофазная","","","","","","","","да","","","","","",""
"Автоматика","Контроль, управление и питание","Твердотельные реле","","","Однофазное твердотельное реле 4-32VDC, GNR35DHZ","Crouzet","GNR35DHZ","GNR35DHZ.pdf","","GNR35DHZ(1)","","","<p>
        Однофазное твердотельное реле постоянного тока GNR35DHZ (CROUZET). 48 - 600 VAC | 4 - 32VDC, со встроенным радиатором. Серия Cooltech 35-45A/45 mm. Улучшенное поколение полупроводниковых реле. Увеличение срока службы, устойчивость к воздействиям высоких температур благодаря усовершенствованной технологии передачи тепла от полупроводниковых элементов к радиатору (DBC). Подходит для приложений, где необходима высокая частота переключений и/или бесшумная работа. Простой монтаж, за счет использования двух вариантов размещения клемм &laquo;реле&raquo; или &laquo;контактор&raquo;.</p>
<ul>
        <li>
                Ток нагрузки: 35А;</li>
        <li>
                Габариты (ШхВхГ), мм: 45 x 88,2 x 120,66;</li>
        <li>
                Интегрированный радиатор;</li>
        <li>
                Защита от перенапряжений (TVS);</li>
        <li>
                Клеммы в вариантах &quot;контактор&quot; либо &quot;реле&quot;;</li>
        <li>
                Монтаж на шине, либо винтами.</li>
</ul>
<p>
        <strong>Производство:</strong> Франция</p>","4-32VDC","48-600VAC","35А","на DIN-рейку или винтами","однофазная","","","","","","","","да","","","","","",""
